1000001
Patients with asthma and chronic obstructive pulmonary disease (COPD) often exhibit similar symptoms. Asthma patients frequently develop COPD as they age, both in cases of allergic and nonallergic asthma, requiring tailored approaches to treatment of these respiratory diseases. Human asthma and COPD patients require individualized treatment plans to manage symptoms of asthma effectively and to prevent respiratory abnormalities or complications. Inflammation and airway remodeling emphasizing the importance of targeted interventions for effective disease management.
14	20	asthma
25	62	chronic obstructive pulmonary disease
64	68	COPD
102	108	Asthma
137	141	COPD
172	203	allergic and nonallergic asthma
285	291	asthma
296	300	COPD
371	377	asthma

1000002
Type 1 and Type 2 diabetes represent different forms of diabetes mellitus (DM), with distinct pathophysiological mechanisms and symptoms. Patients with type 1 diabetes often develop complications such as ketoacidosis, while those with type 2 diabetes may face insulin resistance. Human diabetes, like mouse diabetes, need tailored interventions to manage blood sugar levels effectively. Glucose metabolism is critical biological processes in these diseases.
0	26	Type 1 and Type 2 diabetes
56	73	diabetes mellitus
75	77	DM
152	167	type 1 diabetes
235	250	type 2 diabetes
286	294	diabetes
307	315	diabetes

1000003
Colorectal cancer (CRC), also known as bowel, colon, or rectal cancer. Early-stage and late-stage colorectal cancer present varying clinical symptoms that affect treatment choices. Patients with early-stage colorectal cancer might undergo surgery, while those with late-stage disease usually require chemotherapy or targeted therapies. Human colorectal cancer patients frequently exhibit KRAS mutations, which are important for treatment decisions in the case of colorectal cancer. Metastasis and angiogenesis complicate disease management.
0	17	Colorectal cancer
19	21	CRC
39	69	bowel, colon, or rectal cancer
71	115	Early-stage and late-stage colorectal cancer
195	224	early-stage colorectal cancer
342	359	colorectal cancer
462	479	colorectal cancer
481	491	Metastasis

1000004
Similar treatment approaches can be shared by lung and bronchus cancer. The disease classification includes both non-small cell lung cancer (NSCLC) and small cell lung cancer (SCLC), as well as bronchus cancer. All of them involve tumorigenesis that influence treatment approaches. Patients with NSCLC often present with symptoms like cough and weight loss, while those with SCLC may exhibit more aggressive symptoms and require immediate intervention (no need for NSCLC patients). Targeted therapies for specific genetic mutations, such as EGFR and ALK, have significantly improved outcomes for human lung cancer patients. The prognosis of lung cancer can vary widely.
46	70	lung and bronchus cancer
113	139	non-small cell lung cancer
141	146	NSCLC
152	174	small cell lung cancer
176	180	SCLC
194	209	bronchus cancer
296	301	NSCLC
375	379	SCLC
465	470	NSCLC
573	584	lung cancer
612	623	lung cancer

1000005
The two prevalent cardiovascular conditions that can lead to significant morbidity and mortality are coronary artery and heart valve diseases. Coronary artery disease (CAD) is characterized by the narrowing of coronary arteries due to atherosclerosis, resulting in reduced blood flow to the heart muscle. Key symptoms of CAD include lipid metabolism, inflammation, and endothelial dysfunction. Patients may experience shortness of breath or fatigue. Mouse models of CAD are widely used to study the human CAD pathophysiology and to test new therapeutic strategies to prevent spontaneous coronary artery dissection (SCAD). In contrast, heart valve disease involves dysfunction of one or more heart valves, leading to symptoms such as heart murmurs, palpitations, and swelling.
101	141	coronary artery and heart valve diseases
143	166	Coronary artery disease
168	171	CAD
235	250	atherosclerosis
321	324	CAD
466	469	CAD
505	508	CAD
575	613	spontaneous coronary artery dissection
615	619	SCAD
635	654	heart valve disease

1000006
